"","user","weekday","hour","domain","average"
"324","jakub",2,17,"pw.edu.pl",0.0120481927710843
"325","jakub",2,17,"youtube.com",0.120481927710843
"326","jakub",2,17,"google.com",0.409638554216867
"327","jakub",2,17,"facebook.com",0.0180722891566265
"328","jakub",2,17,"instagram.com",0
"329","jakub",2,18,"stackoverflow.com",0
"330","jakub",2,18,"wikipedia.org",0.00903614457831325
"331","jakub",2,18,"github.com",0
"332","jakub",2,18,"pw.edu.pl",0.00301204819277108
"333","jakub",2,18,"youtube.com",0.108433734939759
"334","jakub",2,18,"google.com",0.436746987951807
"335","jakub",2,18,"facebook.com",0.0421686746987952
"336","jakub",2,18,"instagram.com",0
"337","jakub",2,19,"stackoverflow.com",0
"338","jakub",2,19,"wikipedia.org",0.0120481927710843
"339","jakub",2,19,"github.com",0
"340","jakub",2,19,"pw.edu.pl",0
"341","jakub",2,19,"youtube.com",0.0813253012048193
"342","jakub",2,19,"google.com",0.451807228915663
"343","jakub",2,19,"facebook.com",0.0602409638554217
"344","jakub",2,19,"instagram.com",0
"345","jakub",2,20,"stackoverflow.com",0
"346","jakub",2,20,"wikipedia.org",0.0331325301204819
"347","jakub",2,20,"github.com",0
"348","jakub",2,20,"pw.edu.pl",0.0572289156626506
"349","jakub",2,20,"youtube.com",0.27710843373494
"350","jakub",2,20,"google.com",0.614457831325301
"351","jakub",2,20,"facebook.com",0.0632530120481928
"352","jakub",2,20,"instagram.com",0
"353","jakub",2,21,"stackoverflow.com",0
"354","jakub",2,21,"wikipedia.org",0.00602409638554217
"355","jakub",2,21,"github.com",0
"356","jakub",2,21,"pw.edu.pl",0.0662650602409639
"357","jakub",2,21,"youtube.com",0.16566265060241
"358","jakub",2,21,"google.com",0.307228915662651
"359","jakub",2,21,"facebook.com",0.00903614457831325
"360","jakub",2,21,"instagram.com",0
"361","jakub",2,22,"stackoverflow.com",0
"362","jakub",2,22,"wikipedia.org",0.00301204819277108
"363","jakub",2,22,"github.com",0
"364","jakub",2,22,"pw.edu.pl",0.0180722891566265
"365","jakub",2,22,"youtube.com",0.180722891566265
"366","jakub",2,22,"google.com",0.322289156626506
"367","jakub",2,22,"facebook.com",0.0451807228915663
"368","jakub",2,22,"instagram.com",0.0180722891566265
"369","jakub",2,23,"stackoverflow.com",0
"370","jakub",2,23,"wikipedia.org",0.00602409638554217
"371","jakub",2,23,"github.com",0
"372","jakub",2,23,"pw.edu.pl",0.0120481927710843
"373","jakub",2,23,"youtube.com",0.0301204819277108
"374","jakub",2,23,"google.com",0.271084337349398
"375","jakub",2,23,"facebook.com",0.349397590361446
"376","jakub",2,23,"instagram.com",0
"377","jakub",2,24,"stackoverflow.com",0
"378","jakub",2,24,"wikipedia.org",0
"379","jakub",2,24,"github.com",0
"380","jakub",2,24,"pw.edu.pl",0
"381","jakub",2,24,"youtube.com",0
"382","jakub",2,24,"google.com",0
"383","jakub",2,24,"facebook.com",0
"384","jakub",2,24,"instagram.com",0
"385","jakub",3,1,"stackoverflow.com",0
"386","jakub",3,1,"wikipedia.org",0.00602409638554217
"387","jakub",3,1,"github.com",0
"388","jakub",3,1,"pw.edu.pl",0.00301204819277108
"389","jakub",3,1,"youtube.com",0
"390","jakub",3,1,"google.com",0.0391566265060241
"391","jakub",3,1,"facebook.com",0
"392","jakub",3,1,"instagram.com",0
"393","jakub",3,2,"stackoverflow.com",0
"394","jakub",3,2,"wikipedia.org",0
"395","jakub",3,2,"github.com",0
"396","jakub",3,2,"pw.edu.pl",0
"397","jakub",3,2,"youtube.com",0
"398","jakub",3,2,"google.com",0
"399","jakub",3,2,"facebook.com",0
"400","jakub",3,2,"instagram.com",0
"401","jakub",3,3,"stackoverflow.com",0
"402","jakub",3,3,"wikipedia.org",0
"403","jakub",3,3,"github.com",0
"404","jakub",3,3,"pw.edu.pl",0
"405","jakub",3,3,"youtube.com",0
"406","jakub",3,3,"google.com",0.0120481927710843
"407","jakub",3,3,"facebook.com",0
"408","jakub",3,3,"instagram.com",0
"409","jakub",3,4,"stackoverflow.com",0
"410","jakub",3,4,"wikipedia.org",0
"411","jakub",3,4,"github.com",0
"412","jakub",3,4,"pw.edu.pl",0
"413","jakub",3,4,"youtube.com",0
"414","jakub",3,4,"google.com",0
"415","jakub",3,4,"facebook.com",0
"416","jakub",3,4,"instagram.com",0
"417","jakub",3,5,"stackoverflow.com",0
"418","jakub",3,5,"wikipedia.org",0
"419","jakub",3,5,"github.com",0
"420","jakub",3,5,"pw.edu.pl",0
"421","jakub",3,5,"youtube.com",0
"422","jakub",3,5,"google.com",0
"423","jakub",3,5,"facebook.com",0
"424","jakub",3,5,"instagram.com",0
"425","jakub",3,6,"stackoverflow.com",0
"426","jakub",3,6,"wikipedia.org",0
