"date","domain","count","user"
"2020-02-18","facebook.com",0,1
"2020-02-18","instagram.com",0,1
"2020-02-19","stackoverflow.com",0,1
"2020-02-19","wikipedia.org",0,1
"2020-02-19","github.com",0,1
"2020-02-19","pw.edu.pl",0,1
"2020-02-19","youtube.com",0,1
"2020-02-19","google.com",8,1
"2020-02-19","facebook.com",0,1
"2020-02-19","instagram.com",0,1
"2020-02-20","stackoverflow.com",2,1
"2020-02-20","wikipedia.org",0,1
"2020-02-20","github.com",0,1
"2020-02-20","pw.edu.pl",2,1
"2020-02-20","youtube.com",82,1
"2020-02-20","google.com",4,1
"2020-02-20","facebook.com",17,1
"2020-02-20","instagram.com",0,1
"2020-02-21","stackoverflow.com",0,1
"2020-02-21","wikipedia.org",0,1
"2020-02-21","github.com",0,1
"2020-02-21","pw.edu.pl",0,1
"2020-02-21","youtube.com",1,1
"2020-02-21","google.com",1,1
"2020-02-21","facebook.com",8,1
"2020-02-21","instagram.com",0,1
"2020-02-22","stackoverflow.com",0,1
"2020-02-22","wikipedia.org",0,1
"2020-02-22","github.com",0,1
"2020-02-22","pw.edu.pl",0,1
"2020-02-22","youtube.com",34,1
"2020-02-22","google.com",1,1
"2020-02-22","facebook.com",8,1
"2020-02-22","instagram.com",0,1
"2020-02-24","stackoverflow.com",0,1
"2020-02-24","wikipedia.org",2,1
"2020-02-24","github.com",0,1
"2020-02-24","pw.edu.pl",13,1
"2020-02-24","youtube.com",0,1
"2020-02-24","google.com",8,1
"2020-02-24","facebook.com",10,1
"2020-02-24","instagram.com",0,1
"2020-02-25","stackoverflow.com",0,1
"2020-02-25","wikipedia.org",13,1
"2020-02-25","github.com",0,1
"2020-02-25","pw.edu.pl",12,1
"2020-02-25","youtube.com",0,1
"2020-02-25","google.com",23,1
"2020-02-25","facebook.com",8,1
"2020-02-25","instagram.com",0,1
"2020-02-26","stackoverflow.com",0,1
"2020-02-26","wikipedia.org",8,1
"2020-02-26","github.com",0,1
"2020-02-26","pw.edu.pl",15,1
"2020-02-26","youtube.com",0,1
"2020-02-26","google.com",16,1
"2020-02-26","facebook.com",0,1
"2020-02-26","instagram.com",0,1
"2020-02-27","stackoverflow.com",0,1
"2020-02-27","wikipedia.org",0,1
"2020-02-27","github.com",0,1
"2020-02-27","pw.edu.pl",21,1
"2020-02-27","youtube.com",0,1
"2020-02-27","google.com",0,1
"2020-02-27","facebook.com",18,1
"2020-02-27","instagram.com",0,1
"2020-02-28","stackoverflow.com",0,1
"2020-02-28","wikipedia.org",4,1
"2020-02-28","github.com",16,1
"2020-02-28","pw.edu.pl",7,1
"2020-02-28","youtube.com",2,1
"2020-02-28","google.com",21,1
"2020-02-28","facebook.com",9,1
"2020-02-28","instagram.com",0,1
"2020-02-29","stackoverflow.com",0,1
"2020-02-29","wikipedia.org",8,1
"2020-02-29","github.com",0,1
"2020-02-29","pw.edu.pl",0,1
"2020-02-29","youtube.com",4,1
"2020-02-29","google.com",5,1
"2020-02-29","facebook.com",0,1
"2020-02-29","instagram.com",0,1
"2020-03-03","stackoverflow.com",0,1
"2020-03-03","wikipedia.org",0,1
"2020-03-03","github.com",0,1
"2020-03-03","pw.edu.pl",0,1
"2020-03-03","youtube.com",0,1
"2020-03-03","google.com",8,1
"2020-03-03","facebook.com",0,1
"2020-03-03","instagram.com",0,1
"2020-03-04","stackoverflow.com",0,1
"2020-03-04","wikipedia.org",1,1
"2020-03-04","github.com",0,1
"2020-03-04","pw.edu.pl",10,1
"2020-03-04","youtube.com",0,1
"2020-03-04","google.com",21,1
"2020-03-04","facebook.com",11,1
"2020-03-04","instagram.com",0,1
"2020-03-05","stackoverflow.com",0,1
"2020-03-05","wikipedia.org",1,1
"2020-03-05","github.com",0,1
"2020-03-05","pw.edu.pl",13,1
"2020-03-05","youtube.com",0,1
"2020-03-05","google.com",10,1
"2020-03-05","facebook.com",23,1
"2020-03-05","instagram.com",0,1
"2020-03-06","stackoverflow.com",0,1
"2020-03-06","wikipedia.org",0,1
"2020-03-06","github.com",0,1
"2020-03-06","pw.edu.pl",1,1
"2020-03-06","youtube.com",0,1
"2020-03-06","google.com",0,1
"2020-03-06","facebook.com",0,1
"2020-03-06","instagram.com",0,1
"2020-03-08","stackoverflow.com",1,1
"2020-03-08","wikipedia.org",0,1
"2020-03-08","github.com",24,1
"2020-03-08","pw.edu.pl",10,1
"2020-03-08","youtube.com",1,1
"2020-03-08","google.com",34,1
"2020-03-08","facebook.com",9,1
"2020-03-08","instagram.com",0,1
"2020-03-09","stackoverflow.com",7,1
"2020-03-09","wikipedia.org",0,1
"2020-03-09","github.com",144,1
"2020-03-09","pw.edu.pl",3,1
"2020-03-09","youtube.com",0,1
"2020-03-09","google.com",69,1
"2020-03-09","facebook.com",2,1
"2020-03-09","instagram.com",0,1
"2020-03-10","stackoverflow.com",2,1
"2020-03-10","wikipedia.org",1,1
"2020-03-10","github.com",71,1
"2020-03-10","pw.edu.pl",8,1
"2020-03-10","youtube.com",0,1
"2020-03-10","google.com",26,1
"2020-03-10","facebook.com",26,1
"2020-03-10","instagram.com",0,1
"2020-03-11","stackoverflow.com",1,1
"2020-03-11","wikipedia.org",0,1
"2020-03-11","github.com",35,1
"2020-03-11","pw.edu.pl",1,1
"2020-03-11","youtube.com",0,1
"2020-03-11","google.com",10,1
"2020-03-11","facebook.com",81,1
"2020-03-11","instagram.com",0,1
"2020-03-12","stackoverflow.com",0,1
"2020-03-12","wikipedia.org",0,1
"2020-03-12","github.com",0,1
"2020-03-12","pw.edu.pl",0,1
"2020-03-12","youtube.com",30,1
"2020-03-12","google.com",0,1
"2020-03-12","facebook.com",10,1
"2020-03-12","instagram.com",0,1
"2020-03-13","stackoverflow.com",0,1
"2020-03-13","wikipedia.org",0,1
"2020-03-13","github.com",0,1
"2020-03-13","pw.edu.pl",0,1
"2020-03-13","youtube.com",52,1
"2020-03-13","google.com",10,1
"2020-03-13","facebook.com",7,1
"2020-03-13","instagram.com",0,1
"2020-03-14","stackoverflow.com",0,1
"2020-03-14","wikipedia.org",0,1
"2020-03-14","github.com",0,1
"2020-03-14","pw.edu.pl",0,1
"2020-03-14","youtube.com",38,1
"2020-03-14","google.com",5,1
"2020-03-14","facebook.com",0,1
"2020-03-14","instagram.com",0,1
"2020-03-15","stackoverflow.com",0,1
"2020-03-15","wikipedia.org",0,1
"2020-03-15","github.com",4,1
"2020-03-15","pw.edu.pl",0,1
"2020-03-15","youtube.com",64,1
"2020-03-15","google.com",15,1
"2020-03-15","facebook.com",0,1
"2020-03-15","instagram.com",0,1
"2020-03-16","stackoverflow.com",3,1
"2020-03-16","wikipedia.org",6,1
"2020-03-16","github.com",0,1
"2020-03-16","pw.edu.pl",137,1
"2020-03-16","youtube.com",99,1
"2020-03-16","google.com",123,1
"2020-03-16","facebook.com",15,1
"2020-03-16","instagram.com",0,1
"2020-03-17","stackoverflow.com",5,1
"2020-03-17","wikipedia.org",6,1
"2020-03-17","github.com",19,1
"2020-03-17","pw.edu.pl",47,1
"2020-03-17","youtube.com",38,1
"2020-03-17","google.com",78,1
"2020-03-17","facebook.com",12,1
"2020-03-17","instagram.com",0,1
"2020-03-18","stackoverflow.com",0,1
"2020-03-18","wikipedia.org",27,1
"2020-03-18","github.com",15,1
"2020-03-18","pw.edu.pl",25,1
"2020-03-18","youtube.com",159,1
"2020-03-18","google.com",23,1
"2020-03-18","facebook.com",37,1
"2020-03-18","instagram.com",0,1
"2020-03-19","stackoverflow.com",2,1
"2020-03-19","wikipedia.org",5,1
"2020-03-19","github.com",0,1
"2020-03-19","pw.edu.pl",24,1
"2020-03-19","youtube.com",13,1
"2020-03-19","google.com",62,1
"2020-03-19","facebook.com",10,1
"2020-03-19","instagram.com",0,1
"2020-03-20","stackoverflow.com",8,1
"2020-03-20","wikipedia.org",7,1
"2020-03-20","github.com",65,1
"2020-03-20","pw.edu.pl",21,1
"2020-03-20","youtube.com",9,1
"2020-03-20","google.com",97,1
"2020-03-20","facebook.com",8,1
"2020-03-20","instagram.com",0,1
"2020-03-21","stackoverflow.com",0,1
"2020-03-21","wikipedia.org",0,1
"2020-03-21","github.com",0,1
"2020-03-21","pw.edu.pl",6,1
"2020-03-21","youtube.com",77,1
"2020-03-21","google.com",34,1
"2020-03-21","facebook.com",29,1
"2020-03-21","instagram.com",0,1
"2020-03-22","stackoverflow.com",0,1
"2020-03-22","wikipedia.org",0,1
"2020-03-22","github.com",0,1
"2020-03-22","pw.edu.pl",4,1
"2020-03-22","youtube.com",55,1
"2020-03-22","google.com",6,1
"2020-03-22","facebook.com",37,1
"2020-03-22","instagram.com",0,1
"2020-03-23","stackoverflow.com",21,1
"2020-03-23","wikipedia.org",41,1
