"","time_usec","domain"
"540",2021-01-04 22:25:12,"facebook.com"
"541",2021-01-04 22:25:12,"facebook.com"
"542",2021-01-04 22:25:10,"facebook.com"
"543",2021-01-04 22:25:10,"facebook.com"
"544",2021-01-04 22:24:33,"google.com"
"545",2021-01-04 21:59:46,"google.com"
"546",2021-01-04 21:31:40,"google.com"
"547",2021-01-04 21:30:16,"pw.edu.pl"
"548",2021-01-04 21:30:00,"pw.edu.pl"
"549",2021-01-04 21:29:51,"pw.edu.pl"
"550",2021-01-04 21:29:37,"pw.edu.pl"
"551",2021-01-04 21:29:30,"pw.edu.pl"
"552",2021-01-04 21:29:22,"pw.edu.pl"
"553",2021-01-04 21:29:17,"pw.edu.pl"
"554",2021-01-04 20:51:37,"google.com"
"555",2021-01-04 20:49:04,"google.com"
"556",2021-01-04 20:48:10,"google.com"
"557",2021-01-04 20:47:50,"google.com"
"558",2021-01-04 20:41:27,"google.com"
"559",2021-01-04 20:13:26,"google.com"
"560",2021-01-04 18:59:09,"google.com"
"561",2021-01-04 18:56:10,"pw.edu.pl"
"562",2021-01-04 18:56:02,"pw.edu.pl"
"563",2021-01-04 18:55:58,"pw.edu.pl"
"564",2021-01-04 18:55:50,"pw.edu.pl"
"565",2021-01-04 18:55:47,"pw.edu.pl"
"566",2021-01-04 18:45:38,"facebook.com"
"567",2021-01-04 18:45:35,"facebook.com"
"568",2021-01-04 18:37:36,"pw.edu.pl"
"569",2021-01-04 18:37:28,"github.com"
"570",2021-01-04 18:37:13,"github.com"
"571",2021-01-04 18:37:07,"github.com"
"572",2021-01-04 18:37:04,"github.com"
"573",2021-01-04 18:34:35,"pw.edu.pl"
"574",2021-01-04 18:34:25,"pw.edu.pl"
"575",2021-01-04 18:33:00,"pw.edu.pl"
"576",2021-01-04 18:32:53,"pw.edu.pl"
"577",2021-01-04 18:32:47,"pw.edu.pl"
"578",2021-01-04 18:32:41,"pw.edu.pl"
"579",2021-01-04 18:32:39,"pw.edu.pl"
"580",2021-01-04 18:23:13,"google.com"
"581",2021-01-04 18:23:09,"google.com"
"582",2021-01-04 18:19:05,"stackoverflow.com"
"583",2021-01-04 18:18:53,"google.com"
"584",2021-01-04 18:18:24,"youtube.com"
"585",2021-01-04 18:18:19,"google.com"
"586",2021-01-04 18:16:05,"google.com"
"587",2021-01-04 18:15:23,"stackoverflow.com"
"588",2021-01-04 18:15:21,"google.com"
"589",2021-01-04 18:15:20,"google.com"
"590",2021-01-04 18:15:16,"google.com"
"591",2021-01-04 18:14:11,"google.com"
"592",2021-01-04 18:06:40,"google.com"
